Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Car_Age,Brand,Model,Price_Per_Kilometer,Kilometers_Driven_log,Price_log
Maruti Baleno Alpha 1.3,Delhi,2016,46000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,6.75,9,Maruti,BalenoAlpha,0.0001467391304347826,10.736396675471232,1.9095425048844386
Honda City i DTec V,Coimbatore,2017,73003,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.75,8,Honda,Cityi,0.00010616002082106215,11.198255815176527,2.0476928433652555
Hyundai i20 Era 1.4 CRDi,Kochi,2014,46566,Diesel,Manual,First,22.54,1396.0,88.76,5.0,4.4,11,Hyundai,i20Era,9.448954172572264e-05,10.748625940082194,1.4816045409242156
Mercedes-Benz E-Class 2015-2017 E350 Edition E,Jaipur,2015,41493,Diesel,Automatic,First,13.0,2987.0,265.0,5.0,42.0,10,Mercedes-Benz,E-Class2015-2017,0.0010122189284939628,10.633280017292817,3.7376696182833684
Nissan Terrano XV 110 PS,Kochi,2014,103788,Diesel,Manual,First,19.01,1461.0,108.5,5.0,5.67,11,Nissan,TerranoXV,5.4630593132154005e-05,11.550105636094512,1.7351891177396608
Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,Diesel,Automatic,First,19.6,1461.0,108.45,5.0,11.5,9,Renault,Duster110PS,0.0002555555555555556,10.714417768752456,2.4423470353692043
Maruti Wagon R LXI Minor,Pune,2009,120000,Petrol,Manual,First,18.9,998.0,67.1,5.0,1.69,16,Maruti,WagonR,1.4083333333333333e-05,11.695247021764184,0.5247285289349821
Hyundai Getz 1.5 CRDi GVS,Jaipur,2009,97359,Diesel,Manual,Second,17.1,1493.0,110.0,5.0,1.8,16,Hyundai,Getz1.5,1.8488275352047576e-05,11.486160456450074,0.5877866649021191
Maruti Ritz LXi,Mumbai,2016,62000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.2,9,Maruti,RitzLXi,5.161290322580646e-05,11.03488966402723,1.1631508098056809
Honda City 1.5 GXI,Pune,2004,115000,Petrol,Manual,Second,0.0,1197.0,74.0,5.0,1.5,21,Honda,City1.5,1.3043478260869566e-05,11.652687407345388,0.4054651081081644
BMW 5 Series 520d Sport Line,Kochi,2019,18373,Diesel,Automatic,First,22.48,1995.0,187.74,5.0,45.86,6,BMW,5Series,0.0024960539922712676,9.818637474619734,3.8255932774297583
Volkswagen Polo 1.2 MPI Highline,Hyderabad,2016,60453,Petrol,Manual,First,16.47,1198.0,74.0,5.0,5.1,9,Volkswagen,Polo1.2,8.436305890526525e-05,11.009621482603084,1.62924053973028
Maruti Swift VDI BSIV,Pune,2013,37000,Diesel,Manual,First,17.8,1248.0,,5.0,4.85,12,Maruti,SwiftVDI,0.00013108108108108107,10.51867319162636,1.5789787049493917
Ford Figo Petrol ZXI,Mumbai,2010,69009,Petrol,Manual,Second,15.6,1196.0,70.0,5.0,2.4,15,Ford,FigoPetrol,3.477807242533583e-05,11.141992209856129,0.8754687373538999
BMW 3 Series 320d Luxury Line,Hyderabad,2013,30000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,22.0,12,BMW,3Series,0.0007333333333333333,10.308952660644293,3.091042453358316
Hyundai Verna 1.6 SX CRDi (O),Delhi,2012,70707,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.28,13,Hyundai,Verna1.6,6.053148910291768e-05,11.166299856884498,1.4539530095937054
Renault Duster 85PS Diesel RxL,Coimbatore,2015,64677,Diesel,Manual,First,20.45,1461.0,83.8,5.0,5.67,10,Renault,Duster85PS,8.766640382206967e-05,11.077160930426118,1.7351891177396608
Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,6.2,7,Hyundai,Grandi10,0.0020666666666666667,8.006367567650246,1.824549292051046
BMW X1 sDrive20d,Bangalore,2013,49000,Diesel,Automatic,Second,17.05,1995.0,184.0,5.0,14.49,12,BMW,X1sDrive20d,0.0002957142857142857,10.799575577092764,2.673458756332591
Maruti Ritz VDi,Pune,2010,71000,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.0,15,Maruti,RitzVDi,4.225352112676056e-05,11.170435156023453,1.0986122886681098
Hyundai i10 Era 1.1 iTech SE,Jaipur,2010,52000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.25,15,Hyundai,i10Era,4.3269230769230766e-05,10.858998997563564,0.8109302162163288
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Kochi,2016,35659,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,43.78,9,BMW,X52014-2019,0.0012277405423595726,10.48175684839914,3.779177092094717
Honda City V MT Exclusive,Kochi,2019,5377,Petrol,Manual,First,16.8,1497.0,116.3,5.0,11.45,6,Honda,CityV,0.002129440208294588,8.589885876809678,2.4379897300002487
Mahindra Ssangyong Rexton RX7,Delhi,2014,65000,Diesel,Automatic,First,11.18,2696.0,184.0,7.0,10.5,11,Mahindra,SsangyongRexton,0.00016153846153846153,11.082142548877775,2.3513752571634776
Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2015,92708,Diesel,Manual,First,22.7,1498.0,89.84,5.0,7.48,10,Ford,Ecosport1.5,8.068343616516375e-05,11.43721004772245,2.012232791986386
Maruti Alto LXi,Coimbatore,2010,48105,Petrol,Manual,First,19.7,796.0,46.3,5.0,3.1,15,Maruti,AltoLXi,6.444236565845546e-05,10.781141400795365,1.1314021114911006
Volkswagen Polo 1.2 MPI Highline,Mumbai,2011,46759,Petrol,Manual,First,16.47,1198.0,74.0,5.0,2.55,14,Volkswagen,Polo1.2,5.4534955837378895e-05,10.752762029557497,0.9360933591703348
Volkswagen Polo Diesel Comfortline 1.2L,Jaipur,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,12,Volkswagen,PoloDiesel,5.6451612903225804e-05,11.03488966402723,1.252762968495368
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2012,35175,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.59,13,Volkswagen,PoloDiesel,7.36318407960199e-05,10.46809088198259,0.9516578757114463
Maruti Ertiga ZDI,Kolkata,2013,70000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,5.45,12,Maruti,ErtigaZDI,7.785714285714286e-05,11.156250521031495,1.6956156086751528
Ford EcoSport 1.5 TDCi Ambiente,Kolkata,2017,30000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,6.0,8,Ford,EcoSport1.5,0.0002,10.308952660644293,1.791759469228055
Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,15.49,9,Toyota,InnovaCrysta,0.00023251973940976913,11.106730090282321,2.740194654428777
BMW 5 Series 523i Sedan,Mumbai,2010,69300,Petrol,Automatic,Second,10.8,2497.0,150.0,5.0,12.5,15,BMW,5Series,0.00018037518037518038,11.146200185177994,2.5257286443082556
Maruti Swift Dzire Tour LDI,Kolkata,2017,148000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.75,8,Maruti,SwiftDzire,3.20945945945946e-05,11.904967552746252,1.55814461804655
Ford Ecosport 1.0 Ecoboost Platinum Edition,Mumbai,2017,22000,Petrol,Manual,First,18.88,999.0,123.24,5.0,7.85,8,Ford,Ecosport1.0,0.0003568181818181818,9.998797732340453,2.060513531794317
Hyundai Verna CRDi SX,Ahmedabad,2013,75000,Diesel,Manual,First,16.8,1493.0,110.0,5.0,6.0,12,Hyundai,VernaCRDi,8e-05,11.225243392518447,1.791759469228055
Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.0,9,Tata,ZestRevotron,9.152061501853292e-05,10.685240671430098,1.3862943611198906
Audi A7 2011-2015 3.0 TDI Quattro,Mumbai,2011,42000,Diesel,Automatic,First,14.4,2967.0,241.4,5.0,28.75,14,Audi,A72011-2015,0.0006845238095238096,10.645424897265505,3.3586377672433594
Tata Indica Vista Quadrajet VX,Pune,2012,65000,Diesel,Manual,First,22.3,1248.0,74.0,5.0,2.5,13,Tata,IndicaVista,3.846153846153846e-05,11.082142548877775,0.9162907318741551
Maruti Swift Dzire VDI,Delhi,2015,76128,Diesel,Manual,First,26.59,1248.0,74.0,5.0,5.5,10,Maruti,SwiftDzire,7.224674232870954e-05,11.240171413102685,1.7047480922384253
Fiat Linea Emotion,Kolkata,2010,39852,Petrol,Manual,First,16.0,1368.0,90.0,5.0,1.59,15,Fiat,LineaEmotion,3.989762119843421e-05,10.592927871164747,0.4637340162321402
Hyundai i20 1.2 Spotz,Mumbai,2017,18673,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.22,8,Hyundai,i201.2,0.00033310126921223154,9.83483390921908,1.827769906751088
Hyundai EON Era Plus,Kolkata,2016,11583,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.75,9,Hyundai,EONEra,0.00023741690408357076,9.357293784932345,1.0116009116784799
Hyundai Santro Xing XL,Chennai,2007,82000,Petrol,Manual,Second,0.0,1086.0,,5.0,1.35,18,Hyundai,SantroXing,1.646341463414634e-05,11.314474526246391,0.30010459245033816
Mercedes-Benz GLA Class 200 CDI SPORT,Pune,2017,50000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,25.0,8,Mercedes-Benz,GLAClass,0.0005,10.819778284410283,3.2188758248682006
Maruti Celerio VXI,Delhi,2014,77000,Petrol,Manual,First,23.1,998.0,67.04,5.0,2.8,11,Maruti,CelerioVXI,3.6363636363636364e-05,11.251560700835821,1.0296194171811581
Chevrolet Beat LT,Mumbai,2014,54890,Petrol,Manual,Second,17.8,1199.0,76.8,5.0,2.45,11,Chevrolet,BeatLT,4.463472399344143e-05,10.913086461543935,0.8960880245566357
Honda Jazz 1.2 V AT i VTEC Privilege,Pune,2016,21000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.35,9,Honda,Jazz1.2,0.00030238095238095236,9.95227771670556,1.8484548129046001
BMW 3 Series 320d Highline,Mumbai,2009,58557,Diesel,Automatic,Third,16.07,1995.0,181.0,5.0,8.0,16,BMW,3Series,0.00013661902078316855,10.97775591781472,2.0794415416798357
Renault Duster 110PS Diesel RxL,Bangalore,2014,70000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,8.25,11,Renault,Duster110PS,0.00011785714285714286,11.156250521031495,2.1102132003465894
Ford Figo 2015-2019 1.5P Titanium AT,Mumbai,2017,16000,Petrol,Automatic,First,17.01,1499.0,110.4,5.0,5.95,8,Ford,Figo2015-2019,0.000371875,9.680344001221918,1.7833912195575383
Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,Diesel,Manual,First,13.68,2393.0,147.8,7.0,19.92,7,Toyota,InnovaCrysta,0.002238453758849309,9.093694189856862,2.991724252156452
Chevrolet Beat Diesel LS,Kochi,2016,83629,Diesel,Manual,First,25.44,936.0,56.3,5.0,3.15,9,Chevrolet,BeatDiesel,3.766635975558717e-05,11.334145628872538,1.1474024528375417
Volkswagen Polo GTI,Chennai,2014,35059,Petrol,Automatic,First,17.21,1798.0,189.0,4.0,5.75,11,Volkswagen,PoloGTI,0.00016400924156422032,10.46478763553565,1.749199854809259
Ford Endeavour 3.2 Trend AT 4X4,Kochi,2018,30552,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,32.44,7,Ford,Endeavour3.2,0.001061796281749149,10.327185428905352,3.479392229247212
Hyundai Verna 1.6 SX CRDI (O) AT,Kochi,2016,44875,Diesel,Automatic,Second,22.32,1582.0,126.32,5.0,8.01,9,Hyundai,Verna1.6,0.0001784958217270195,10.71163612579058,2.080690761080268
Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,25095,Petrol,Manual,First,18.16,1196.0,86.8,5.0,6.48,8,Ford,Figo2015-2019,0.00025821876867901974,10.130423902089033,1.8687205103641833
Maruti 800 AC,Jaipur,2007,59000,Petrol,Manual,First,16.1,796.0,37.0,4.0,0.75,18,Maruti,800AC,1.2711864406779661e-05,10.985292722887856,-0.2876820724517809
Honda City i DTEC V,Kolkata,2014,36000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,5.0,11,Honda,Cityi,0.0001388888888888889,10.491274217438248,1.6094379124341003
Mahindra XUV500 W8 2WD,Mumbai,2012,37000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,7.75,13,Mahindra,XUV500W8,0.00020945945945945947,10.51867319162636,2.0476928433652555
Ford Figo Diesel ZXI,Chennai,2010,90000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6,15,Ford,FigoDiesel,2.8888888888888888e-05,11.407564949312402,0.9555114450274363
Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,Petrol,Manual,First,17.0,1497.0,121.36,5.0,9.2,7,Ford,EcoSport1.5,0.0005411764705882352,9.740968623038354,2.2192034840549946
Hyundai i20 Asta 1.2,Mumbai,2015,42575,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.05,10,Hyundai,i20Asta,0.00011861421021726365,10.659022505530888,1.6193882432872684
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,131000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,9.6,13,Toyota,Innova2.5,7.32824427480916e-05,11.782952602183288,2.2617630984737906
Renault Duster 85PS Diesel RxL Optional,Mumbai,2013,74000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.5,12,Renault,Duster85PS,7.432432432432433e-05,11.211820372186306,1.7047480922384253
Toyota Innova 2.5 VX (Diesel) 8 Seater,Mumbai,2013,47234,Diesel,Manual,First,12.99,2494.0,100.6,8.0,9.35,12,Toyota,Innova2.5,0.00019795062878435026,10.762869251237097,2.2353763433005955
Honda City 1.5 S MT,Delhi,2009,231673,Petrol,Manual,First,17.0,1497.0,118.0,5.0,2.6,16,Honda,City1.5,1.1222714774704001e-05,12.353082173634636,0.9555114450274363
Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.5,9,Maruti,AltoK10,0.00035,9.210340371976184,1.252762968495368
Nissan Micra Active XL Petrol,Kochi,2016,49389,Petrol,Manual,First,19.49,1198.0,67.04,5.0,4.26,9,Nissan,MicraActive,8.625402417542367e-05,10.807483006316131,1.449269160281279
Maruti Celerio VXI AT,Chennai,2016,12000,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,4.25,9,Maruti,CelerioVXI,0.0003541666666666667,9.392661928770137,1.4469189829363254
Mercedes-Benz New C-Class 200 Kompressor,Hyderabad,2010,65000,Petrol,Manual,Second,11.7,1796.0,178.0,5.0,11.75,15,Mercedes-Benz,NewC-Class,0.00018076923076923077,11.082142548877775,2.463853240590168
Ford Fiesta Diesel Style,Chennai,2013,177000,Diesel,Manual,First,23.5,1498.0,88.7,5.0,3.5,12,Ford,FiestaDiesel,1.9774011299435028e-05,12.083905011555967,1.252762968495368
Hyundai Verna 1.6 VTVT S,Jaipur,2015,89000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,7.5,10,Hyundai,Verna1.6,8.426966292134831e-05,11.396391648714276,2.0149030205422647
Hyundai i20 1.4 Asta (AT),Chennai,2009,72000,Petrol,Automatic,Third,15.0,1396.0,100.0,5.0,3.25,16,Hyundai,i201.4,4.513888888888889e-05,11.184421397998193,1.1786549963416462
Maruti Swift Dzire VXi,Chennai,2012,49000,Petrol,Manual,First,17.5,1298.0,85.8,5.0,4.9,13,Maruti,SwiftDzire,0.0001,10.799575577092764,1.589235205116581
Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Hyderabad,2014,51355,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,27.0,11,Mercedes-Benz,NewC-Class,0.0005257521176126959,10.846517581599905,3.295836866004329
Hyundai Elite i20 Petrol Asta,Kochi,2017,13460,Petrol,Manual,First,18.6,1197.0,81.86,5.0,8.91,8,Hyundai,Elitei20,0.000661961367013373,9.50747760319872,2.187174241482718
Hyundai Verna 1.6 VTVT EX AT,Kochi,2014,35642,Petrol,Automatic,First,17.01,1591.0,121.4,5.0,6.69,11,Hyundai,Verna1.6,0.00018769990460692444,10.481279996733045,1.900613874140137
Chevrolet Cruze LTZ,Kochi,2014,52895,Diesel,Manual,First,17.3,1998.0,163.7,5.0,6.02,11,Chevrolet,CruzeLTZ,0.00011381037905284053,10.876064095420874,1.7950872593207297
Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,Petrol,Manual,First,14.28,1798.0,138.03,5.0,4.5,15,Toyota,CorollaAltis,4.838709677419355e-05,11.440354772135393,1.5040773967762742
Maruti A-Star Vxi,Pune,2011,70000,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.0,14,Maruti,A-StarVxi,2.857142857142857e-05,11.156250521031495,0.6931471805599453
Nissan Micra Diesel XV Premium,Kolkata,2012,32048,Diesel,Manual,First,23.08,1461.0,63.1,5.0,2.4,13,Nissan,MicraDiesel,7.488766849725411e-05,10.374990057905599,0.8754687373538999
Tata Nano LX,Pune,2013,4700,Petrol,Manual,First,25.4,624.0,37.48,4.0,1.2,12,Tata,NanoLX,0.0002553191489361702,8.45531778769815,0.1823215567939546
Maruti Swift Dzire Tour LDI,Delhi,2014,71800,Diesel,Manual,First,23.4,1248.0,74.0,5.0,2.9,11,Maruti,SwiftDzire,4.0389972144846796e-05,11.181639755036315,1.0647107369924282
Land Rover Range Rover Sport 2005 2012 Sport,Coimbatore,2008,69078,Petrol,Manual,First,0.0,1197.0,74.0,5.0,40.88,17,Land Rover,RoverRange,0.000591794782709401,11.14299157990172,3.7106409458954492
Audi Q3 2.0 TDI Quattro,Ahmedabad,2016,45000,Diesel,Automatic,First,17.32,1968.0,184.0,5.0,27.0,9,Audi,Q32.0,0.0006,10.714417768752456,3.295836866004329
Honda Amaze VX i-DTEC,Chennai,2016,15388,Diesel,Manual,First,25.8,1498.0,98.6,5.0,7.5,9,Honda,AmazeVX,0.0004873927735898102,9.641343263872185,2.0149030205422647
Chevrolet Optra 1.6 LS,Mumbai,2004,98798,Petrol,Manual,First,14.7,1599.0,104.0,5.0,1.5,21,Chevrolet,Optra1.6,1.5182493572744387e-05,11.500832640616089,0.4054651081081644
Audi Q5 2.0 TDI Premium Plus,Hyderabad,2016,43000,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,39.5,9,Audi,Q52.0,0.0009186046511627907,10.668955394675699,3.676300671907076
Maruti Ritz VDi,Hyderabad,2012,85112,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.39,13,Maruti,RitzVDi,3.982987122849892e-05,11.351723315196201,1.220829921392359
Mahindra Scorpio S6 7 Seater,Kochi,2018,37804,Diesel,Manual,First,15.4,2179.0,120.0,7.0,12.4,7,Mahindra,ScorpioS6,0.0003280076182414559,10.540170196114946,2.517696472610991
Maruti Ciaz ZDi SHVS,Chennai,2014,45000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,6.85,11,Maruti,CiazZDi,0.0001522222222222222,10.714417768752456,1.9242486522741338
Toyota Corolla Altis Aero D 4D J,Pune,2011,116000,Diesel,Manual,Second,21.43,1364.0,138.0,5.0,5.75,14,Toyota,CorollaAltis,4.956896551724138e-05,11.661345470088502,1.749199854809259
Tata Indica V2 eLS,Chennai,2015,100073,Diesel,Manual,Second,25.0,1396.0,69.0,5.0,2.0,10,Tata,IndicaV2,1.9985410650225334e-05,11.513655198649829,0.6931471805599453
Maruti 800 Std BSIII,Jaipur,2006,165000,Petrol,Manual,First,16.1,796.0,37.0,4.0,0.9,19,Maruti,800Std,5.4545454545454545e-06,12.013700752882718,-0.10536051565782628
Volkswagen Polo 1.2 MPI Highline,Kolkata,2015,22000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,3.8,10,Volkswagen,Polo1.2,0.00017272727272727272,9.998797732340453,1.33500106673234
Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,16.35,8,Hyundai,Elantra2.0,0.0017210526315789476,9.159047077588632,2.7942278973432626
Toyota Fortuner 4x2 4 Speed AT,Hyderabad,2012,152000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,16.5,13,Toyota,Fortuner4x2,0.00010855263157894737,11.931635799828413,2.803360380906535
Maruti Baleno Zeta 1.2,Coimbatore,2019,17705,Petrol,Manual,First,21.4,1197.0,83.1,5.0,8.7,6,Maruti,BalenoZeta,0.0004913866139508613,9.781602364546004,2.163323025660538
Maruti Baleno Zeta 1.2,Mumbai,2016,12000,Petrol,Manual,First,21.4,1197.0,83.1,5.0,6.1,9,Maruti,BalenoZeta,0.0005083333333333333,9.392661928770137,1.8082887711792655
Mini Cooper Countryman D,Hyderabad,2013,51000,Diesel,Automatic,First,23.8,1998.0,112.0,5.0,21.94,12,Mini Cooper,CooperCountryman,0.00043019607843137255,10.839580911706463,3.088311454847084
Mercedes-Benz S Class 2005 2013 320 CDI,Chennai,2009,42000,Diesel,Automatic,Second,13.0,2987.0,210.0,5.0,22.0,16,Mercedes-Benz,SClass,0.0005238095238095238,10.645424897265505,3.091042453358316
Maruti Alto K10 LXI,Delhi,2015,51000,Petrol,Manual,First,20.92,998.0,67.1,5.0,2.65,10,Maruti,AltoK10,5.196078431372549e-05,10.839580911706463,0.9745596399981308
Maruti Swift VXI Optional,Kochi,2017,42527,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.27,8,Maruti,SwiftVXI,0.00012392127354386625,10.657894447316275,1.6620303625532709
Chevrolet Sail LT ABS,Kolkata,2014,45000,Diesel,Manual,First,22.1,1248.0,74.0,5.0,2.48,11,Chevrolet,SailLT,5.511111111111111e-05,10.714417768752456,0.9082585601768908
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Kolkata,2011,70000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,6.0,14,Toyota,Innova2.5,8.571428571428571e-05,11.156250521031495,1.791759469228055
Toyota Fortuner 3.0 Diesel,Mumbai,2009,92000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,8.9,16,Toyota,Fortuner3.0,9.673913043478261e-05,11.429543856031177,2.186051276738094
BMW 3 Series 320d Sport Line,Hyderabad,2012,57156,Diesel,Automatic,Second,18.88,1995.0,184.0,5.0,18.0,13,BMW,3Series,0.0003149275666596683,10.95353965058886,2.8903717578961645
Skoda Octavia Ambition 1.4 TSI MT,Coimbatore,2016,53211,Petrol,Manual,First,16.8,1395.0,138.02,5.0,11.64,9,Skoda,OctaviaAmbition,0.00021875176185375206,10.882020420873696,2.454447442303292
Toyota Fortuner 3.0 Diesel,Kolkata,2019,80000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,8.99,6,Toyota,Fortuner3.0,0.00011237500000000001,11.289781913656018,2.196112848483529
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Bangalore,2009,74000,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,5.25,16,Volkswagen,Jetta2007-2011,7.094594594594594e-05,11.211820372186306,1.6582280766035324
Hyundai i20 1.4 CRDi Asta,Kolkata,2011,37000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,2.95,14,Hyundai,i201.4,7.972972972972974e-05,10.51867319162636,1.0818051703517284
Tata Manza Club Class Quadrajet90 LX,Mumbai,2013,64000,Diesel,Manual,Second,21.02,1248.0,88.76,5.0,2.65,12,Tata,ManzaClub,4.140625e-05,11.06663836234181,0.9745596399981308
Volkswagen Vento Petrol Highline,Pune,2013,57197,Petrol,Manual,First,15.04,1598.0,103.6,5.0,4.0,12,Volkswagen,VentoPetrol,6.993373778345019e-05,10.95425672844002,1.3862943611198906
Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,Diesel,Automatic,First,17.6,1582.0,126.2,5.0,12.5,9,Hyundai,Creta1.6,0.00022727272727272727,10.915088464214607,2.5257286443082556
Maruti Ritz VXI,Mumbai,2014,33000,Petrol,Manual,First,21.1,1197.0,85.8,5.0,3.25,11,Maruti,RitzVXI,9.848484848484849e-05,10.404262840448617,1.1786549963416462
Honda CR-V 2.0L 2WD MT,Delhi,2008,70000,Petrol,Manual,First,13.1,1997.0,141.1,5.0,4.0,17,Honda,CR-V2.0L,5.714285714285714e-05,11.156250521031495,1.3862943611198906
Mahindra XUV500 W8 2WD,Delhi,2012,75000,Diesel,Manual,Second,15.1,2179.0,140.0,7.0,6.25,13,Mahindra,XUV500W8,8.333333333333333e-05,11.225243392518447,1.8325814637483102
Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,Diesel,Manual,First,21.66,1498.0,108.62,5.0,5.8,9,Volkswagen,Ameo1.5,9.983647473965057e-05,10.969834880616963,1.7578579175523736
Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,Petrol,Manual,First,17.57,1193.0,88.7,5.0,5.0,10,Tata,ZestRevotron,0.000671591672263264,8.915297945118109,1.6094379124341003
Jaguar XJ 3.0L Portfolio LWB,Kochi,2016,17652,Diesel,Automatic,First,12.9,2993.0,270.88,5.0,58.73,9,Jaguar,XJ3.0L,0.0033271017448447764,9.778604370389438,4.072950669534428
Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,17.49,7,Toyota,CorollaAltis,0.0006175629391617527,10.25135885791871,2.8616292890305104
Maruti A-Star Vxi,Pune,2011,69000,Petrol,Manual,Second,19.0,998.0,66.1,5.0,1.95,14,Maruti,A-StarVxi,2.8260869565217392e-05,11.141861783579396,0.6678293725756554
Honda Accord VTi-L (AT),Mumbai,2007,80000,Petrol,Automatic,First,11.1,2354.0,142.0,5.0,3.0,18,Honda,AccordVTi-L,3.75e-05,11.289781913656018,1.0986122886681098
Hyundai i20 Asta (o),Delhi,2014,42365,Petrol,Manual,First,17.0,1197.0,80.0,5.0,5.5,11,Hyundai,i20Asta,0.0001298241472913962,10.654077828632564,1.7047480922384253
Toyota Fortuner 4x2 AT,Delhi,2013,123000,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,16.5,12,Toyota,Fortuner4x2,0.00013414634146341464,11.719939634354555,2.803360380906535
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mumbai,2011,40000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,14.5,14,Mercedes-Benz,NewC-Class,0.0003625,10.596634733096073,2.6741486494265287
Maruti Baleno Alpha 1.3,Hyderabad,2016,30112,Diesel,Manual,First,27.39,1248.0,74.0,5.0,7.79,9,Maruti,BalenoAlpha,0.0002587008501594049,10.312679042385106,2.052840859882657
Maruti Ertiga VDI,Kochi,2017,43775,Diesel,Manual,First,20.77,1248.0,88.76,7.0,8.27,8,Maruti,ErtigaVDI,0.00018892061679040548,10.686818157154052,2.1126345090356
Land Rover Range Rover Sport SE,Kochi,2019,26013,Diesel,Automatic,First,12.65,2993.0,255.0,5.0,97.07,6,Land Rover,RoverRange,0.0037315957405912427,10.16635169204527,4.575432367724135
Chevrolet Optra Magnum 1.6 LT ABS BS3,Mumbai,2012,56000,Petrol,Manual,First,12.9,1598.0,102.5,5.0,2.15,13,Chevrolet,OptraMagnum,3.839285714285714e-05,10.933106969717286,0.7654678421395714
Honda Civic 2006-2010 1.8 V AT,Hyderabad,2008,95000,Petrol,Automatic,Second,12.9,1799.0,130.0,5.0,3.0,17,Honda,Civic2006-2010,3.157894736842105e-05,11.461632170582678,1.0986122886681098
BMW X3 xDrive20d,Coimbatore,2014,41089,Diesel,Automatic,First,16.09,1995.0,184.0,5.0,28.79,11,BMW,X3xDrive20d,0.0007006741463652073,10.6234957247597,3.3600281046240843
